song,artist,cluster
Famous,Kanye West,1
Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",4
Bounce Back,Big Sean,0
No Favors,"Big Sean, Eminem",4
"3 on (feat. Tinashe, Drake)","ScHoolboy Q, Drake, Tinashe",1
Birthday,Katy Perry,1
Break Free,"Ariana Grande, Zedd",0
Bailando - Spanish Version,"Enrique Iglesias, Descemer Bueno, Gente De Zona",1
Don't Stop,5 Seconds of Summer,1
Only One,Aste,1
I Want You To Know,"Zedd, Selena Gomez",0
Thumbs,Sabrina Carpenter,1
Believer,Imagine Dragons,0
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,1
Radar,Britney Spears,0
Leave It All To Me (Theme from iCarly) (feat. Drake Bell),"Miranda Cosgrove, Drake Bell",1
Tämä on totta,Laura Närhi,0
Been On,G-Eazy,4
We Winnin',DeJ Loaf,1
Waves,Kanye West,1
Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travis Scott, Yo Gotti, Quavo, Desiigner",0
"How Far I'll Go - From ""Vaiana""",Alessia Cara,4
Rolex,Ayo & Teo,1
Stay (with Alessia Cara),"Zedd, Alessia Cara",0
Issues,Julia Michaels,3
1000 Nights,FRENSHIP,0
Used To Have It All,"FÄIS, Afrojack",0
Galway Girl,Ed Sheeran,1
Something Just Like This,"The Chainsmokers, Coldplay",0
Despacito (Featuring Daddy Yankee),"Luis Fonsi, Daddy Yankee",1
That's What I Like,Bruno Mars,1
Happier,Ed Sheeran,3
Dive,Ed Sheeran,3
New Man,Ed Sheeran,1
What Do I Know?,Ed Sheeran,0
Slide (feat. Frank Ocean & Migos),"Calvin Harris, Frank Ocean, Migos",0
I Lived,OneRepublic,1
Wipe Your Eyes,Maroon 5,0
Hollywood Hills,Sunrise Avenue,1
Hetken Tie On Kevyt,Tehosekoitin,0
Just the Way You Are,Bruno Mars,1
Tää kesä,Timi Lexikon,0
The Lazy Song,Bruno Mars,1
Count on Me,Bruno Mars,3
We Are Young (feat. Janelle Monáe),"fun., Janelle Monáe",1
I Wanna Go - Desi Hits! Remix produced by DJ Lloyd ft Sonu Nigam,Britney Spears,1
Private Show,Britney Spears,1
Man On The Moon,Britney Spears,0
Do You Wanna Come Over?,Britney Spears,1
Love Me Down,Britney Spears,0
Liar,Britney Spears,0
Better,Britney Spears,1
Invitation,Britney Spears,1
Body Ache,Britney Spears,0
Til It's Gone,Britney Spears,0
Passenger,Britney Spears,1
Chillin' With You (feat. Jamie Lynn),"Britney Spears, Jamie Lynn Spears",1
Don't Cry,Britney Spears,0
Now That I Found You,Britney Spears,1
Hold On Tight,Britney Spears,1
Brightest Morning Star,Britney Spears,3
(Drop Dead) Beautiful (feat. Sabi),"Britney Spears, Sabi",0
Seal It with a Kiss,Britney Spears,0
Big Fat Bass (feat. will.i.am),"Britney Spears, will.i.am",1
Inside Out,Britney Spears,0
Gasoline,Britney Spears,1
He About To Lose Me,Britney Spears,0
Don't Keep Me Waiting,Britney Spears,0
Selfish,Britney Spears,0
If U Seek Amy,Britney Spears,0
Shattered Glass,Britney Spears,0
Kill the Lights,Britney Spears,1
Blur,Britney Spears,1
Mannequin,Britney Spears,0
Mmm Papi,Britney Spears,0
My Baby,Britney Spears,3
Lace and Leather,Britney Spears,1
Phonography,Britney Spears,0
Hot as Ice,Britney Spears,1
Breathe on Me,Britney Spears,0
Shadow,Britney Spears,0
Overprotected - Radio Edit,Britney Spears,0
Cinderella,Britney Spears,0
I Run Away,Britney Spears,0
Lucky,Britney Spears,1
Don't Go Knockin' on My Door,Britney Spears,0
Don't Let Me Be the Last to Know,Britney Spears,1
Dear Diary,Britney Spears,3
Where Are You Now,Britney Spears,3
One Kiss from You,Britney Spears,1
Sometimes,Britney Spears,1
Born to Make You Happy,Britney Spears,0
From the Bottom of My Broken Heart,Britney Spears,1
Deep In My Heart,Britney Spears,0
Pills N Potions,Nicki Minaj,4
The Night Is Still Young,Nicki Minaj,0
Anaconda,Nicki Minaj,4
Roman Holiday,Nicki Minaj,0
Right By My Side,"Nicki Minaj, Chris Brown",4
Starships,Nicki Minaj,0
Pound The Alarm,Nicki Minaj,0
Whip It,Nicki Minaj,1
Stupid Hoe,Nicki Minaj,4
Va Va Voom,Nicki Minaj,1
Super Bass,Nicki Minaj,1
Cold,"Maroon 5, Future",0
One More Night,Maroon 5,0
Payphone - Edit,"Maroon 5, Wiz Khalifa",1
Daylight,Maroon 5,1
Lucky Strike,Maroon 5,0
Ladykiller,Maroon 5,1
Love Somebody,Maroon 5,1
Sad,Maroon 5,3
Fortune Teller,Maroon 5,0
Doin’ Dirt,Maroon 5,0
Tickets,Maroon 5,0
Beautiful Goodbye,Maroon 5,1
Wasted Years,Maroon 5,0
Let’s Stay Together,Maroon 5,3
Animals - Radio Edit,Martin Garrix,2
Wake Me Up,Avicii,1
Waiting For Love,Avicii,0
City Of Dreams - Showtek Remix,"Dirty South, Alesso, Ruben Haze",2
Rahan takii,Antti Tuisku,0
Tahdon rakastella sinua,SANNI,1
You Don't Know Me,"Jax Jones, RAYE",0
Momentumii,Reino Nordin,0
Backpack,"Justin Bieber, Lil Wayne",0
Get Back (Asap),Alexandra Stan,2
Got 2 Luv U (feat. Alexis Jordan),"Sean Paul, Alexis Jordan",4
Till Morning - Video Mix,"Darius & Finlay, Nicco",0
Feel So Close - Radio Edit,Calvin Harris,1
Jump - Feat Vince MC Denny,Lucenzo,0
Heart Skips a Beat (feat. Rizzle Kicks),"Olly Murs, Rizzle Kicks",1
Say Yeah,Wiz Khalifa,1
Don’t Stop The Party,Black Eyed Peas,1
Guardian Angel,K-System,0
Seinäruusu,Kaija Koo,0
So Big,Iyaz,1
Take Me Back,Taio Cruz,1
Boom - Video Edit,"ItaloBrothers, Carlprit",0
More,Usher,0
Jos Mun Pokka Pettää,Haloo Helsinki!,1
Sorry For Party Rocking,LMFAO,1
Pass Out - Radio Edit,Tinie Tempah,1
Hetken tie on kevyt,Laura Närhi,3
Nothing Really Matters - feat. will.i.am,David Guetta,1
Talk That Talk,"Rihanna, JAY-Z",1
Call Me Maybe,Carly Rae Jepsen,1
Midnight City,M83,0
Shake It Up,Selena Gomez,0
Pelaat ja juhlit,Lord Est,1
Chasing The Sun,The Wanted,0
F**k U Betta,Neon Hitch,1
Good Time,"Owl City, Carly Rae Jepsen",1
Seksikkäin jäbä,"Teflon Brothers, STIG, Meiju Suvas",0
Figure 8,Ellie Goulding,0
Levoton tyttö,Anssi Kela,0
Mermaid,Train,1
She Makes Me Go (feat. Sean Paul) - Radio Edit,"Arash, Sean Paul",0
4 AM - Radio Version,Scooter,1
Haastaja,Jontte Valosaari,1
Push Play,Miriam Bryant,1
Bombo,Adelén,1
Reload - Vocal Version / Radio Edit,"Sebastian Ingrosso, Tommy Trash, John Martin",0
"Driving Around (feat. Pitbull, David Rush & Vein) - Providers Remix Radio Edit","Mr. 305, Pitbull, David Rush, Vein",0
Next to Me,Otto Knows,3
The Hanging Tree - Rebel Remix,"James Newton Howard, Jennifer Lawrence",1
Thinking out Loud,Ed Sheeran,3
Stuck On a Feeling,"Prince Royce, Snoop Dogg",1
I Don't Mind (feat. Juicy J),"Usher, Juicy J",4
Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",0
Weekend,Priory,1
Heartbeat Song,Kelly Clarkson,1
Pieces,Ella Henderson,1
Stolen Dance,Milky Chance,3
Masterpiece,Jessie J,0
She Knows,"Ne-Yo, Juicy J",0
Only One,"Kanye West, Paul McCartney",3
Lay Me Down,Sam Smith,3
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,0
The Nights,Avicii,1
Talking Body,Tove Lo,0
Dear Future Husband,Meghan Trainor,1
Living For Love,Madonna,1
GDFR (feat. Sage the Gemini & Lookas),"Flo Rida, Sage The Gemini, Lookas",1
Shut Up and Dance,WALK THE MOON,1
Uma Thurman,Fall Out Boy,0
Somebody,"Natalie La Rose, Jeremih",1
I Bet My Life,Imagine Dragons,1
FourFiveSeconds,"Rihanna, Kanye West, Paul McCartney",3
American Oxygen,Rihanna,1
Back to Earth (feat. Fall Out Boy),"Steve Aoki, Fall Out Boy",0
Back Together,"Robin Thicke, Nicki Minaj",0
Beautiful Now,"Zedd, Jon Bellion",0
Bitch Better Have My Money,Rihanna,1
Cake By The Ocean,DNCE,0
Cheerleader - Felix Jaehn Remix Radio Edit,"OMI, Felix Jaehn",1
Confident,Demi Lovato,1
Cool for the Summer,Demi Lovato,0
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,3
Drag Me Down,One Direction,0
Emergency,Icona Pop,1
Ex's & Oh's,Elle King,1
The Fix (feat. Jeremih),"Nelly, Jeremih",1
Fun (feat. Chris Brown),"Pitbull, Chris Brown",0
Ghost Town,Adam Lambert,0
Hello,Adele,3
Hotline Bling,Drake,1
Hula Hoop,OMI,0
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)","Flo Rida, Robin Thicke, Verdine White",0
I Lived,OneRepublic,1
"I Need Your Love (feat. Mohombi, Faydee & Costi)","Shaggy, Mohombi, Faydee, Costi",1
Like I Can,Sam Smith,0
Marvin Gaye (feat. Meghan Trainor),"Charlie Puth, Meghan Trainor",0
On My Mind,Ellie Goulding,1
One Call Away,Charlie Puth,1
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",0
Perfect,One Direction,1
Photograph,Ed Sheeran,3
Pretty Girls,"Britney Spears, Iggy Azalea",0
Renegades,X Ambassadors,1
Roses,"The Chainsmokers, ROZES",1
Riptide,Vance Joy,1
Same Old Love,Selena Gomez,0
See You Again (feat. Charlie Puth),"Wiz Khalifa, Charlie Puth",3
Stitches,Shawn Mendes,1
Style,Sweet Baby May,1
SummerThing!,"Afrojack, Mike Taylor",1
This Summer,Maroon 5,0
Watch Me (Whip / Nae Nae),Silentó,1
You Know You Like It,"DJ Snake, AlunaGeorge",0
2080-luvulla,SANNI,1
Mauton jasso,JVG,0
Peto on irti,Antti Tuisku,0
Freaks - Radio Edit,"Timmy Trumpet, Savage",2
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",1
Eteen ja Ylös,Elastinen,0
Kiitos ei ole kirosana,Haloo Helsinki!,1
Sua varten,Robin,0
Walk,Kwabs,0
Nothing Really Matters - Afrojack Remix,Mr. Probz,1
Himalaja,Aste,4
Spesiaali,Nikke Ankara,1
Crossroads,Satin Circus,1
Roy Orbison,STIG,0
Blame (feat. John Newman),"Calvin Harris, John Newman",0
Paperilennokki,Robin,1
Stay With Me,Sam Smith,3
Sinä ansaitset kultaa,Jari Sillanpää,0
Are You With Me - Radio Edit,Lost Frequencies,3
Tuulisii (feat. Pete Parkkonen),"JVG, Pete Parkkonen",1
Five More Hours - Deorro x Chris Brown,"Deorro, Chris Brown",0
Headlights (feat. Ilsey),"Robin Schulz, Ilsey",1
Mimmit fiilaa,Mikael Gabriel,1
Virheistä kaunein,TCT,0
Ur Cool,SAARA,1
Bandana,ABREU,1
Ain't Nobody (Loves Me Better),"Felix Jaehn, Jasmine Thompson",3
Dime - Radio Edit,Jack Perry,0
Heroes,Måns Zelmerlöw,1
Parade,"Tungevaag, Raaban",0
"Habibi Love (I Need Your Love) (feat. Mohombi, Faydee & Costi)","Shaggy, Mohombi, Faydee, Costi",1
Kuka Pelkää Pimeet,Musta Barbaari,4
Hold Back The River,James Bay,1
UFO - Radio Edit,Vigiland,2
Aurinkokuningatar,Valovuosi,1
Reality - Radio Edit,"Lost Frequencies, Janieck Devy",1
Downtown,Donkeyboy,0
Powerful (feat. Ellie Goulding & Tarrus Riley),"Major Lazer, Ellie Goulding, Tarrus Riley",0
Lipstick (feat. Tyga),"Isac Elliot, Tyga",0
Ihana,Chisu,1
That's How You Know (feat. Kid Ink & Bebe Rexha),"Nico & Vinz, Kid Ink, Bebe Rexha",3
Kaikki mitä näät,Aurora,4
Can't Feel My Face,The Weeknd,0
Fight Song,Rachel Platten,1
Yö kuuluu meille,"Robin, Santa Cruz, Nikke Ankara, Brädi, Jussi 69",1
Here for You (feat. Ella Henderson),"Kygo, Ella Henderson",1
El Perdón,"Nicky Jam, Enrique Iglesias",1
Hula Hoop,OMI,0
Pilkun jälkeen,Roope Salminen & Koirat,1
Easy Love,Sigala,1
Sillat (feat. Ilta),"Cheek, Ilta",1
7 Years,Lukas Graham,1
Miten eskimot suutelee?,"Robin, SANNI",0
Lähtisitkö (feat. SANNI) (Vain elämää kausi 4),"VilleGalle, SANNI",1
Puistossa (feat. Alexandra Babitzin ja Jare) (Vain elämää kausi 4),"VilleGalle, Alexandra Babitzin, Jare",1
Carrie,Ellinoora,0
Light It Up (feat. Nyla & Fuse ODG) - Remix,"Major Lazer, Nyla, Fuse ODG",0
Stay (feat. Maty Noyes),"Kygo, Maty Noyes",1
Bang My Head (feat. Sia & Fetty Wap),David Guetta,1
Party (Papiidipaadi) (feat. Nikke Ankara),"Antti Tuisku, Nikke Ankara",0
DADDY ft. CL of 2NE1,PSY,0
Adventure of a Lifetime,Coldplay,1
All I Want for Christmas Is You,Mariah Carey,1
King,Years & Years,0
Shots,Imagine Dragons,1
Heroes,Måns Zelmerlöw,1
Mikä kesä?,Valvomo,1
One Dance,"Drake, WizKid, Kyla",1
Sex,"Cheat Codes, Kris Kross Amsterdam",1
Another Lonely Night,Adam Lambert,1
Trespassing - Radio Edit,Adam Lambert,1
Elevated,"Larry Ohh, Peter Piffen",4
Turn Me Up Some (feat Redman & Jay Psar) - Dirty,"Jay Psar, Jayceeoh, Redman",1
Cloud Up,DJ KIMERA,2
Mä En Kestä,Laura Voutilainen,0
Make Me (Cry),"Noah Cyrus, Labrinth",3
OMG,"Usher, will.i.am",0
Nothin' on You (feat. Bruno Mars),"B.o.B, Bruno Mars",1
I Like It,"Enrique Iglesias, Pitbull",0
Empire State Of Mind,"JAY-Z, Alicia Keys",4
Like A G6,"Far East Movement, The Cataracs, DEV",4
Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,Flo Rida,1
3,Britney Spears,0
Hotel Room Service,Pitbull,4
Terkkui Exille,"Ollie, SONNY",1
Todella kaunis,Zen Cafe,1
Grenade,Bruno Mars,0
Asking for a Friend - Stripped,Annabel Jones,3
Yksinäisen keijun tarina,Chisu,3
Listen to Your Heart (Remix),Fernando,4
Every Breath You Take (Re:Imagined),Denmark + Winter,3
Begin Again,Measure,3
Jos Mä Oisin Sun Mies - feat. Elastinen,Jontte Valosaari,1
50 Ways to Say Goodbye,Train,1
Tuhlari,Laura Närhi,1
Party Shaker (feat. Nicco) - Video Edit,"R.I.O., Nicco",1
Turn Up The Love,"Far East Movement, Cover Drive",1
This Is Love,"will.i.am, Eva Simons",0
Your Body,Christina Aguilera,0
Beam Me Up (Kill Mode) (Radio Edit),CAZZETTE,1
Seuraavaan elämään,Jannika B,0
Years - ラジオ・エディット,"Alesso, Matthew Koma",1
New Way Home,Isac Elliot,0
Acid Rain,Alexis Jordan,0
Let It Roll,Flo Rida,0
Applause,Lady Gaga,0
Boom Kah,"Robin, Mikael Gabriel, Uniikki",1
Don't You Know It's True - Radio edit,Kingston Crew,0
Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",1
Always On My Mind,Adelén,0
Hullu,Juju,0
Best Day Of My Life,American Authors,1
Somewhere to Run,Krewella,1
One Heart - Radio Edit,"ItaloBrothers, Floorfilla, P. Moody",1
If I Lose Myself,OneRepublic,1
Locked out of Heaven,Bruno Mars,1
Don't Wake Me Up,Chris Brown,0
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,0
Pokemoneja,Portion Boys,1
What We Started,"Don Diablo, Steve Aoki, Lush & Simon, BullySongs",1
If I Ever Grow Up,Molly,1
If I Lose Myself - Alesso vs OneRepublic,"OneRepublic, Alesso",1
Locked out of Heaven - Sultan and Ned Shepard Remix,"Bruno Mars, Shepard, Sultan",0
Anywhere For You,John Martin,1
The Next Episode,"Dr. Dre, Snoop Dogg",0
Last Resort,Papa Roach,0
Hoe,Heikki Kuula,1
Monster (Dotexe Remix),Nightcore,1
Everytime We Touch - Nightcore Edit,Cascada,1
Welcome to the Club - Nightcore Edit,Manian,0
Stamp on the Ground - Nightcore Edit,ItaloBrothers,1
Miracle - Nightcore Edit,Cascada,1
Angel With a Shotgun,The Cab,1
"Mies, Jolle Ei Koskaan Tapahdu Mitään",J. Karjalainen Yhtyeineen,1
1972,Anssi Kela,1
Mennyt mies,J. Karjalainen,0
Puistossa,Anssi Kela,1
Every Breath You Take - Remastered 2003,The Police,3
Vadelmavene,Kasmir,0
Shake That,"Eminem, Nate Dogg",0
Antaudun,Reino Nordin,4
Tahdon rakastella sinua,SANNI,1
Tired of Missing You,Isac Elliot,0
Imus,Gasellit,1
Filmi katkee (feat. Aste),"Aleksanteri Hakaniemi, Aste",0
Holy Grail,"JAY-Z, Justin Timberlake",0
Maailma loppuu tänään,Titta,1
Ihan sairasta mutta oikeesti kuulumme yhteen,Antti Tuisku,1
Ride,SoMo,3
Erase Your Social,Lil Uzi Vert,3
HUMBLE.,Kendrick Lamar,0
Family Business,Kanye West,4
Symphony (feat. Zara Larsson),"Clean Bandit, Zara Larsson",0
Clique,"Kanye West, JAY-Z, Big Sean",4
Boombidibyebye (feat. Ivone Cerdan),"Keko Salata, Ivone Cerdan",1
Soittorasia,"Petri Nygård, Mariska",0
Siivet,"Teflon Brothers, Aku Hirviniemi",0
Rakkaudesta,Titta,1
Ei pystyny hengittää,Vesala,0
Thinking About You,"Hardwell, Jay Sean",0
Hula Hula,"Robin, Nelli Matula",0
Mask Off,Future,4
Sitä säät mitä tilaat (feat. Ellinoora),"JVG, Ellinoora",0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),"Jason Derulo, Nicki Minaj, Ty Dolla $ign",1
Muistanks Mä Väärin?,"Gasellit, Karri Koira",0
Something Just Like This,"The Chainsmokers, Coldplay",0
Chasing Highs,ALMA,0
Urheiluhullu,JVG,1
Hulluuden Highway,Haloo Helsinki!,0
Rakas,Haloo Helsinki!,3
Maailman Toisella Puolen,Haloo Helsinki!,1
Jos Mun Pokka Pettää,Haloo Helsinki!,1
Karhun kaato,HesaÄijä,1
Rihanna (feat. Heikki Kuula),"Hotelli Vantaa, Heikki Kuula",0
Yhdessä yksinäisiä,Janne Ordén,0
Arvon Leidit,Teflon Brothers,1
Työmiehen lauantai (feat. TIPPA),"Arttu Wiskari, TIPPA",1
Mun Kaa,SINI YASEMIN,1
Sunnuntaisin (feat. NEEA),"Janne Ordén, Neea",1
Huonoo Seuraa,Kasmir,0
Kun tänään lähden,Erin,3
En Pysty Lopettaa,BESS,0
Ai Ai Ai,STIG,0
Sinä riität,Mikko Harju,0
Now Or Never,Halsey,0
Regret In Your Tears,Nicki Minaj,3
Fuqboi,Hey Violet,1
Here Comes The Night,"DJ Snake, Mr Hudson",0
TG4M,Zara Larsson,0
No Promises (feat. Demi Lovato),"Cheat Codes, Demi Lovato",1
Dirty Love,Cher Lloyd,1
Pure Grinding,Avicii,1
Lush Life (feat. Dani Poppitt),LEO ISLO,0
679 (feat. Remy Boyz),"Fetty Wap, Remy Boyz",4
Can't Sleep Love,Pentatonix,1
Cheyenne,Jason Derulo,0
Intro,Big Sean,3
Light,"Big Sean, Jeremih",3
Bounce Back,Big Sean,4
No Favors,"Big Sean, Eminem",4
Jump Out The Window,Big Sean,1
Moves,Big Sean,4
Same Time Pt. 1,"Big Sean, TWENTY88",3
Owe Me,Big Sean,3
Halfway Off The Balcony,Big Sean,4
Voices In My Head/Stick To The Plan,Big Sean,4
Sunday Morning Jetpack,"Big Sean, The-Dream",3
Inspire Me,Big Sean,4
Sacrifices,"Big Sean, Migos",4
Bigger Than Me,"Big Sean, The Flint Chozen Choir, Starrah",3
Loud,Mac Miller,1
good kid,Kendrick Lamar,4
Booty Bounce - Radio Edit,Tujamo,2
Faith - Radio Edit,Blasterjaxx,1
Tsunami,Lea in the Mix,2
There's Nothing Holdin' Me Back,Shawn Mendes,1
You Don't Know Me - Radio Edit,"Jax Jones, RAYE",0
Thunder,Imagine Dragons,1
Bon Appétit,"Katy Perry, Migos",1
Fuck You,Lily Allen,0
Our Way,"FTampa, Kamatos",0
Blind Heart - Radio Edit,"CAZZETTE, Terri B!",0
Runaway Baby,Bruno Mars,1
Running Wild (feat. Britt Daley & The Oddictions),"Morgan Page, Britt Daley, The Oddictions",2
Shed a Light,"Robin Schulz, David Guetta, Cheat Codes",1
Waiting All Night (feat. Ella Eyre),"Rudimental, Ella Eyre",0
Freaks - Radio Edit,"Timmy Trumpet, Savage",1
Would I Lie to You - Radio Edit,"David Guetta, Cedric Gervais, Chris Willis",4
BURN IT DOWN,Linkin Park,0
Dare (La La La) - Dirtyloud Remix,"Shakira, Marcus Vinicius Campos, Eduardo Nascimento",1
Melody - Coone Remix,"Dimitri Vegas & Like Mike, Steve Aoki, Ummet Ozcan",0
Going Under,Evanescence,0
On My Way,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",1
Hold My Hand,Jess Glynne,1
Emergency,Icona Pop,1
Bitch Better Have My Money - R3hab Remix,"Rihanna, R3HAB",0
Secrets,"Tiësto, KSHMR, VASSY",0
Really Don't Care,"Demi Lovato, Cher Lloyd",1
Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",1
Waiting For Love,Avicii,0
Hey Brother - Avicii By Avicii,"Avicii, Tim Bergling",1
Shame On Me - Avicii By Avicii,Avicii,1
Feeling Good,Avicii,3
Get It Started (feat. Shakira),"Pitbull, Shakira",0
Anaconda,Nicki Minaj,1
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,"Lana Del Rey, Cedric Gervais",0
human - EDX's FE5TIVAL RADIO EDIT,Christina Perri,1
Sexy And I Know It,LMFAO,4
Get Lucky (feat. Pharrell Williams & Nile Rodgers),"Daft Punk, Pharrell Williams, Nile Rodgers",0
Friday Night,Vigiland,0
Summer Air,ItaloBrothers,1
Malibu,Miley Cyrus,1
Kymmenen Kirosanaa - Vain Elämää Kausi 6,Robin,0
Good Life (with G-Eazy & Kehlani),"G-Eazy, Kehlani",1
Solo,Tuuli,1
Pari kilometriä (feat. Diandra),"Keko Salata, Diandra",0
Kylmii Väreitä,Evelina,0
XXX. FEAT. U2.,"Kendrick Lamar, U2",4
Karjala Takas,Portion Boys,1
Hands,"Mike Perry, The Vamps, Sabrina Carpenter",0
Despacito - Remix,"Luis Fonsi, Daddy Yankee, Justin Bieber",1
Rhythm Is A Dancer,"Breathe Carolina, Dropgun, Kaleena Zanders",1
Bad Liar,Selena Gomez,1
I Don't Love You (I'm Just Lonely),Junge Junge,1
Hunter,Galantis,1
Pretty Girl - Cheat Codes X CADE Remix,"Maggie Lindemann, CADE, Cheat Codes",0
Strip That Down,"Liam Payne, Quavo",1
Never Gonna Give You Up,Mac Beez,2
Hot2Touch,"Felix Jaehn, Hight, Alex Aiono",0
Mä tiiän et mä saan,Titta,4
Never Let Me Go,"Alok, Bruno Martini, Zeeba",1
Raincoat (feat. Shy Martin),"Timeflies, SHY Martin",1
Obsession (feat. Jon Bellion),"Vice, Jon Bellion",1
Pettävällä Jäällä - Vain Elämää Kausi 6,Nikke Ankara,0
I'm the One,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",1
Sit Mennää,Teflon Brothers,1
Rakkaus On Lumivalkoinen - Vain Elämää Kausi 6,Robin,0
First Time,"Kygo, Ellie Goulding",0
Muitaki ihmisii,Vesala,1
Jokainen kyynel,"Profeetat, Cheek, Elastinen",0
Tanssi se ulos (feat. Ellinoora),"Roope Salminen & Koirat, Ellinoora",1
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),"Enrique Iglesias, Descemer Bueno, Zion & Lennox",0
Ei riidellä enää,Chisu,0
Satamiljoonaa Kertaa,"Mäkki, Reino Nordin",0
California Dreaming (feat. Snoop Dogg & Paul Rey),"Arman Cekin, Paul Rey, Snoop Dogg",3
Attention,Charlie Puth,0
Kesärenkaat - Vain Elämää Kausi 6,Nikke Ankara,1
15,Aleksanteri Hakaniemi,1
Unforgettable,"French Montana, Swae Lee",1
OK,"Robin Schulz, James Blunt",0
Satuprinsessa (Vain elämää kausi 6),Samu Haber,3
Perjantai 13. (Vain elämää kausi 6),Samu Haber,0
1-800-273-8255,"Logic, Alessia Cara, Khalid",3
SHE,Isac Elliot,0
Mama,"Jonas Blue, William Singe",0
Walk Away,"LVNDSCAPE, Kaptan",0
Sun Goes Down (feat. MAGIC! & Sonny Wilson),"David Guetta, Showtek, MAGIC!, Sonny Wilson",1
With Me,Sum 41,1
Best Day Of My Life - Gazzo Remix,American Authors,0
Grillaa,Lidl Stingy,0
Hot N*gga,Bobby Shmurda,4
It's a Sin - 2001 Remaster,Pet Shop Boys,0
Sjeiken 2015,"TIX, The Pøssy Project",1
Dear Mama,2Pac,3
More Than You Know,Axwell /\ Ingrosso,0
Hanuri (feat. Boyat),"Antti Tuisku, Boyat",0
OK,"Robin Schulz, James Blunt",0
Kaaoksen keskellä,Irina,0
Bad Girls,M.I.A.,1
Vielä kerran (feat. Tommi Läntinen),"Yksi Totuus, Tommi Läntinen",0
Finest Girl (Bin Laden Song),The Lonely Island,4
Jack Sparrow,"The Lonely Island, Michael Bolton",4
Everything Is AWESOME!!!,"Tegan and Sara, The Lonely Island",1
Love Never Felt So Good,"Michael Jackson, Justin Timberlake",0
Paradinha,Anitta,0
Chantaje (feat. Maluma),"Shakira, Maluma",0
Dare (La La La),Shakira,1
Can't Remember to Forget You,"Shakira, Rihanna",0
She Wolf,Shakira,1
"Whenever, Wherever",Shakira,0
Your Song,Rita Ora,1
Hasta La Vista,"Heikki Kuula, Mariska",1
Teenage Dream,Katy Perry,1
Last Friday Night (T.G.I.F.),Katy Perry,0
Firework,Katy Perry,1
California Gurls,"Katy Perry, Snoop Dogg",1
E.T.,Katy Perry,0
Muutoksii - feat. Asa,"Raappana, Asa",4
Side To Side,"Ariana Grande, Nicki Minaj",0
Booty,"Jennifer Lopez, Iggy Azalea",1
Loca (feat. El Cata),"Shakira, El Cata",0
Dangerous (feat. Sam Martin),"David Guetta, Sam Martin",0
Paluu tulevaisuuteen,JVG,1
Get Down,"Tiësto, Tony Junior",2
WIEE (feat. Mesto),"Martin Garrix, Mesto",2
Cool Girl,Tove Lo,0
Down,"Fifth Harmony, Gucci Mane",1
"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer, Travis Scott, Camila Cabello, Quavo",0
Don't Want You Back,"Bakermat, Kiesza",1
What I've Done,Linkin Park,1
First Love,Jennifer Lopez,1
I'm Into You,"Jennifer Lopez, Lil Wayne",0
Hey Baby (Drop It to the Floor) (feat. T-Pain),"Pitbull, T-Pain",0
Let It Roll,Flo Rida,0
Give Your Heart a Break,Demi Lovato,1
Unbroken,Demi Lovato,1
Skyscraper,Demi Lovato,1
La La Land,Demi Lovato,0
Love Story,Taylor Swift,1
Safe & Sound - from The Hunger Games Soundtrack,"Taylor Swift, The Civil Wars",3
You Belong With Me,Taylor Swift,1
Love Story - US Album Version,Taylor Swift,1
You Belong With Me,Taylor Swift,1
Crazier,Taylor Swift,1
Blank Space,Taylor Swift,1
Bad Blood,Taylor Swift,1
Shake It Off,Taylor Swift,1
22,Taylor Swift,1
Red,Taylor Swift,0
I’ll Never Let You Know,Basic Element,0
Witness,Katy Perry,0
Hey Hey Hey,Katy Perry,1
Swish Swish,"Katy Perry, Nicki Minaj",0
Everyday,"Ariana Grande, Future",0
Rolling in the Deep,Adele,1
E.T.,Katy Perry,0
Forget You,CeeLo Green,1
Moves Like Jagger - Studio Recording From The Voice Performance,"Maroon 5, Christina Aguilera",1
