song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Mistletoe,Justin Bieber,0.661,0.552,6,-9.141,0,0.0478,0.493,0.0,0.0834,0.87,161.986
Somebody To Love,Justin Bieber,0.714,0.823,5,-5.217,1,0.0258,0.0026,0.0,0.324,0.627,129.968
Stuck In The Moment,Justin Bieber,0.711,0.687,0,-6.355,0,0.0583,0.168,0.0,0.137,0.336,89.967
U Smile,Justin Bieber,0.697,0.605,1,-5.286,1,0.0283,0.579,1.16e-06,0.133,0.444,112.488
Never Let You Go,Justin Bieber,0.66,0.812,0,-4.85,1,0.036,0.00148,0.0,0.291,0.694,103.15
Overboard,"Justin Bieber, Jessica Jarrell",0.3,0.793,5,-5.151,1,0.0943,0.185,0.0,0.151,0.468,173.923
Eenie Meenie,"Justin Bieber, Sean Kingston",0.72,0.6,1,-4.212,1,0.0318,0.0568,0.0,0.107,0.792,121.225
Up,Justin Bieber,0.709,0.705,0,-4.352,1,0.0385,0.0851,0.0,0.0952,0.59,125.94
That Should Be Me,Justin Bieber,0.544,0.615,8,-5.688,1,0.0317,0.205,0.0,0.154,0.226,139.935
One Time,Justin Bieber,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999
Down To Earth,Justin Bieber,0.543,0.718,2,-4.795,1,0.0268,0.432,0.0,0.437,0.155,82.003
Favorite Girl,Justin Bieber,0.581,0.681,7,-4.469,1,0.0435,0.0472,0.0,0.104,0.634,176.034
First Dance,"Justin Bieber, Usher",0.646,0.52,11,-7.289,1,0.0412,0.0137,0.0,0.275,0.328,68.517
People Help the People,Birdy,0.407,0.308,10,-9.001,0,0.0296,0.778,1.46e-05,0.092,0.153,73.254
Voitolla yöhön,JVG,0.728,0.889,8,-3.054,1,0.0952,0.00991,1.59e-05,0.0544,0.59,119.986
Coming Home,"Diddy - Dirty Money, Skylar Grey",0.353,0.815,7,-1.844,1,0.212,0.164,0.0,0.217,0.245,167.971
Royals,Lorde,0.665,0.432,7,-9.579,1,0.133,0.115,0.0,0.135,0.333,84.899
Counting Stars,OneRepublic,0.662,0.71,1,-4.945,0,0.0364,0.0603,0.0,0.119,0.465,121.979
Mun maailma,Mikael Gabriel,0.634,0.729,6,-6.837,0,0.115,0.112,0.0,0.19,0.356,82.077
Ykspuolista rakkautta,"Mikael Gabriel, Heikki Kuula",0.763,0.864,0,-5.102,1,0.166,0.0273,0.0,0.0728,0.938,134.984
Koirakaveri,Heikki Kuula,0.938,0.67,0,-6.627,1,0.0479,0.308,0.0,0.0331,0.973,100.009
Hey Brother,Avicii,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014
Under Control (feat. Hurts),"Calvin Harris, Alesso, Hurts",0.55,0.919,8,-3.431,1,0.0788,0.137,0.00118,0.0886,0.51,126.059
You Make Me,Avicii,0.58,0.743,6,-4.79,1,0.0412,0.00195,0.0133,0.129,0.515,125.007
Timber (feat. Ke$ha),"Pitbull, Kesha",0.587,0.965,11,-4.106,1,0.101,0.0362,0.0,0.138,0.825,129.972
Timantit on ikuisia,Cheek,0.535,0.916,2,-4.68,1,0.36,0.21,0.0,0.114,0.566,100.075
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip, GoonRock",0.761,0.619,5,-5.741,0,0.175,0.00959,3.18e-06,0.0896,0.516,129.998
Trumpsta - Djuro Remix,"Contiez, Treyy G",0.973,0.589,1,-7.014,1,0.236,0.00208,0.319,0.276,0.201,128.006
Am I Wrong,Nico & Vinz,0.719,0.45,8,-13.529,1,0.0346,0.183,2.54e-06,0.0979,0.794,119.935
Tsunami,"DVBBS, Borgeous",0.688,0.844,4,-5.353,0,0.0511,0.0472,0.643,0.0942,0.273,128.04
Work,Iggy Azalea,0.69,0.816,7,-4.933,1,0.13,0.0644,0.0,0.464,0.485,139.943
What Now,Rihanna,0.402,0.696,8,-4.799,0,0.0448,0.0476,0.0,0.628,0.227,180.158
Can't Remember to Forget You,"Shakira, Rihanna",0.697,0.813,11,-3.399,0,0.0679,0.132,0.0,0.129,0.811,137.976
Nothing Really Matters,Mr. Probz,0.404,0.225,4,-8.829,1,0.0363,0.888,0.0,0.111,0.275,135.075
One Last Time,Ariana Grande,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026
Paper Light (Higher),Loreen,0.487,0.588,4,-6.926,1,0.0328,0.0351,0.34,0.144,0.0692,127.834
I Really Like You,Carly Rae Jepsen,0.621,0.831,5,-4.676,1,0.0435,0.00437,8.34e-05,0.17,0.589,122.072
Raindrops (feat. Kerli) - Radio Edit,"SNBRN, Kerli",0.663,0.777,5,-5.464,0,0.0301,0.111,0.0149,0.0498,0.238,123.035
Runaway (U & I),Galantis,0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008
Peanut Butter Jelly,Galantis,0.708,0.945,5,-3.247,0,0.234,0.00104,0.0803,0.227,0.545,127.96
No Money,Galantis,0.671,0.916,6,-4.014,0,0.0397,0.0282,0.00762,0.24,0.803,126.01
Cool,"Alesso, Roy English",0.534,0.844,6,-2.438,0,0.0309,0.0299,0.0,0.411,0.501,128.013
Ganjaman,Alfons,0.901,0.815,8,-4.089,1,0.233,0.00175,0.000403,0.677,0.658,127.992
Elämältä turpiin sain,Tiisu,0.674,0.764,2,-4.877,1,0.0298,0.269,0.0,0.112,0.651,91.996
All About That Bass,Meghan Trainor,0.811,0.879,9,-3.724,1,0.0514,0.0476,1.91e-06,0.109,0.962,134.064
Ugly Heart,G.R.L.,0.649,0.79,9,-5.529,1,0.0482,0.0167,0.0,0.255,0.458,124.993
Classic,MKTO,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071
Fireball (feat. John Ryan),"Pitbull, John Ryan",0.69,0.937,10,-5.393,1,0.0642,0.0894,0.000104,0.0532,0.794,122.951
Wowwowwow,Kasmir,0.371,0.701,3,-5.3,1,0.179,0.156,1.59e-05,0.0996,0.626,79.343
Iholla,Kasmir,0.63,0.565,8,-6.102,1,0.0392,0.149,0.0,0.0852,0.449,128.823
Fuck You,CeeLo Green,0.693,0.879,0,-3.988,1,0.0578,0.193,0.0,0.124,0.753,127.457
This Summer,Maroon 5,0.54,0.766,4,-5.148,0,0.07,0.000248,0.0,0.641,0.176,98.932
Shots & Squats,"Vigiland, Tham Sway",0.818,0.819,1,-5.052,1,0.116,0.00824,0.000392,0.225,0.279,128.02
Young and Restless,Benjamin,0.698,0.792,3,-5.951,1,0.0377,0.00158,0.000114,0.554,0.649,118.002
Keinutaan (feat. VilleGalle),"Antti Tuisku, VilleGalle",0.826,0.763,4,-2.062,0,0.0467,0.158,4.69e-05,0.386,0.543,108.01
Waiting For Love,Avicii,0.567,0.746,6,-3.748,0,0.0511,0.335,0.0,0.392,0.578,128.03
Sweet Escape,"Alesso, Sirena",0.566,0.851,2,-3.799,1,0.0389,0.0736,1.07e-06,0.198,0.511,126.046
Vauvoja,"Kasmir, SAARA",0.764,0.809,1,-3.377,0,0.278,0.344,0.0,0.31,0.852,120.08
Hesan naiset,"Särre, Karri Koira",0.78,0.823,5,-7.382,0,0.0664,0.0579,2.15e-06,0.321,0.918,95.28
Beautiful Now,"Zedd, Jon Bellion",0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003
Tarkenee,JVG,0.693,0.911,7,-4.769,0,0.0706,0.0228,0.0,0.233,0.804,134.055
Bitch I'm Madonna,"Madonna, Nicki Minaj",0.724,0.611,3,-5.704,0,0.163,0.0498,0.000228,0.179,0.562,150.04
Good For You,"Selena Gomez, A$AP Rocky",0.48,0.681,5,-6.619,0,0.096,0.174,0.0,0.0783,0.198,88.772
SummerThing!,"Afrojack, Mike Taylor",0.712,0.77,0,-5.443,1,0.0745,0.0572,0.0,0.288,0.751,130.034
In My Head,Galantis,0.548,0.895,0,-2.794,1,0.0392,0.00622,0.0184,0.108,0.616,127.829
Happily,One Direction,0.623,0.89,9,-4.783,1,0.0394,0.0426,0.0,0.153,0.824,117.0
Stitches,Shawn Mendes,0.746,0.754,1,-6.681,1,0.067,0.0152,0.0,0.0486,0.764,149.882
Mimmit fiilaa,Mikael Gabriel,0.783,0.684,7,-7.333,1,0.0374,0.0339,0.0,0.325,0.655,125.032
We Wanna,"Alexandra Stan, INNA, Daddy Yankee",0.795,0.748,0,-4.402,0,0.0474,0.109,0.0,0.0853,0.777,110.016
Love Myself,Hailee Steinfeld,0.617,0.759,0,-6.785,0,0.0677,0.0026,0.0,0.419,0.324,122.925
Do I Wanna Know?,Arctic Monkeys,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
Ay Ay Ay,"Teflon Brothers, Tango-Teemu",0.666,0.842,6,-4.836,0,0.0762,0.00706,4.14e-06,0.0828,0.825,116.997
Bailandoo (feat. Herba & Lakko),"Nost3 & Protro, Herba, Lakko",0.681,0.907,6,-3.923,0,0.119,0.0328,0.0,0.209,0.711,127.983
Sparks Fly,Hey Violet,0.567,0.88,5,-3.686,1,0.0517,0.00826,0.0,0.113,0.334,132.141
For A Better Day,Avicii,0.635,0.833,2,-3.387,0,0.0332,0.04,0.214,0.132,0.295,135.029
Juusto Katolle,"Teflon Brothers, Setä Tamu",0.843,0.784,6,-6.246,0,0.0506,0.0557,0.0,0.0755,0.799,119.933
I Know What You Did Last Summer,"Shawn Mendes, Camila Cabello",0.692,0.766,9,-4.559,0,0.103,0.124,0.0,0.141,0.738,113.971
Rivers,Thomas Jack,0.574,0.809,0,-5.787,0,0.0565,0.149,6.99e-06,0.129,0.471,122.005
Lähtisitkö (feat. SANNI) (Vain elämää kausi 4),"VilleGalle, SANNI",0.75,0.736,5,-5.669,1,0.121,0.187,6.39e-06,0.102,0.393,90.978
Lost,Donkeyboy,0.782,0.84,11,-4.983,0,0.0475,0.0513,0.000198,0.253,0.502,118.037
Tequila,Vesala,0.358,0.642,3,-5.895,0,0.0378,0.155,0.0641,0.221,0.244,132.379
Take Me Back (feat. Arron),"Salti, Arron",0.514,0.586,9,-7.418,0,0.106,0.00989,0.0,0.0756,0.601,127.644
Feelin' Myself,"will.i.am, Miley Cyrus, French Montana, Wiz Khalifa, Mustard",0.859,0.533,6,-8.59,0,0.156,0.0293,0.0,0.138,0.514,96.453
Dance with Me Tonight,Olly Murs,0.672,0.748,11,-5.922,0,0.0589,0.305,0.0,0.0811,0.964,163.984
Dessert,Dawin,0.868,0.679,6,-6.941,1,0.0397,0.0799,1.22e-06,0.0504,0.75,97.012
No One Else,Isac Elliot,0.67,0.724,6,-4.912,0,0.0394,0.0274,0.0,0.113,0.386,114.99
Dirty Mind (feat. Sam Martin),"Flo Rida, Sam Martin",0.766,0.74,5,-4.706,0,0.092,0.0565,1.49e-05,0.287,0.744,115.071
Freedom,Pharrell Williams,0.427,0.558,1,-6.374,0,0.0685,0.395,3.69e-05,0.136,0.605,86.141
Secrets - Radio Edit,"Tiësto, KSHMR, VASSY",0.662,0.81,11,-4.442,0,0.0441,0.00127,0.00653,0.0886,0.224,128.007
Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063
The Illest,"Far East Movement, Riff Raff",0.665,0.719,6,-4.321,1,0.0782,0.0107,1.57e-05,0.117,0.542,142.085
Never Forget You,"Zara Larsson, MNEK",0.583,0.732,11,-5.728,0,0.0457,0.00312,9.86e-06,0.269,0.276,145.992
Takajeejee (feat. Evelina),"JVG, Evelina",0.769,0.799,2,-4.344,1,0.126,0.0183,0.0,0.401,0.329,115.972
How to Be a Heartbreaker,MARINA,0.69,0.897,11,-4.696,0,0.0506,0.0142,0.0,0.108,0.849,140.05
Easy Love - Radio Edit,Sigala,0.677,0.966,9,-2.146,1,0.0685,0.236,6.55e-06,0.161,0.591,123.938
Lush Life,Zara Larsson,0.694,0.712,7,-3.923,0,0.046,0.133,0.0,0.211,0.799,98.022
New Thang,Redfoo,0.743,0.841,0,-5.189,1,0.0391,0.0156,0.0,0.133,0.814,100.003
On My Mind,Ellie Goulding,0.702,0.705,0,-6.666,1,0.0543,0.258,5.93e-06,0.0879,0.743,154.911
Be Right There,"Diplo, Sleepy Tom",0.695,0.797,7,-5.199,1,0.0548,0.00259,0.112,0.664,0.297,124.972
Stand By You,Rachel Platten,0.494,0.881,9,-4.644,1,0.271,0.19,0.000226,0.0877,0.493,187.879
Locked Away (feat. Adam Levine),"R. City, Adam Levine",0.508,0.677,1,-5.696,1,0.0656,0.328,0.0,0.0491,0.575,121.928
Alive,Sia,0.32,0.752,6,-4.91,0,0.056,0.289,0.000101,0.102,0.392,98.88
Hurricane - Arty Remix,"Halsey, ARTY",0.43,0.853,0,-4.107,1,0.0692,0.0279,3.29e-06,0.376,0.446,127.956
En Tiiä Sun Nimee,"Nikke Ankara, Ollie",0.664,0.837,8,-5.043,1,0.0878,0.12,0.0,0.107,0.502,95.012
Shake The Ground,HEDEGAARD,0.803,0.892,5,-5.264,0,0.0523,0.00135,0.0144,0.118,0.643,110.994
Sax,Fleur East,0.728,0.892,4,-5.172,1,0.126,0.0144,0.0,0.469,0.826,117.976
Na Na Na,Venior,0.669,0.598,10,-6.804,1,0.129,0.0105,0.0105,0.296,0.379,139.815
Play My Drum,Sandra Lyng,0.452,0.873,4,-4.062,0,0.0712,0.313,0.000864,0.133,0.228,127.991
Faded,Alan Walker,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011
Ei tippa tapa,TIPPA,0.688,0.643,7,-5.873,1,0.307,0.0698,0.0,0.176,0.738,174.906
Että mitähän vittua,SANNI,0.568,0.805,1,-6.046,1,0.0658,0.00044,0.0105,0.471,0.469,101.012
Night After Night,Sandra Lyng,0.754,0.833,7,-4.356,0,0.0468,0.0237,0.000476,0.171,0.687,117.05
Juha88,"Vilma Alina, Teflon Brothers",0.815,0.673,1,-5.202,1,0.0503,0.00548,6.48e-06,0.0583,0.828,127.983
Dust - feat. Astrid S,"CLMD, Astrid S",0.591,0.682,5,-5.636,1,0.0462,0.00862,0.000428,0.19,0.419,119.999
Paradise (feat. KStewart),"Matoma, Sean Paul, KStewart",0.783,0.771,8,-4.029,0,0.114,0.0651,0.000136,0.274,0.598,103.011
Lähiöunelmii,"Teflon Brothers, Mariska",0.747,0.897,1,-5.09,1,0.065,0.0405,0.00018,0.1,0.926,126.04
Famous,Kanye West,0.472,0.746,6,-3.649,1,0.119,0.072,0.0,0.116,0.42,173.955
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,0.632,0.701,7,-5.921,1,0.146,0.0114,0.0,0.108,0.497,162.958
"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",0.5,0.268,6,-13.59,0,0.235,0.727,0.0,0.104,0.187,92.056
Worth Something,Isac Elliot,0.666,0.839,8,-5.267,1,0.0916,0.124,0.0,0.153,0.303,123.069
Energy In Magic - Radio Edit,"Tom & Hills, Jared Lee",0.642,0.927,4,-3.369,0,0.0535,0.0777,0.0,0.155,0.079,109.645
Hands To Myself - KANDY Remix,"Selena Gomez, KANDY",0.774,0.701,0,-5.504,0,0.0526,0.138,2.25e-05,0.1,0.564,123.959
Sleep When We're Dead - Club Radio Edit,ItaloBrothers,0.475,0.887,1,-3.135,0,0.13,0.027,0.00141,0.0586,0.355,107.965
I Won't Let You Down (feat. Bekuh Boom),"Christopher, Bekuh Boom",0.642,0.816,7,-4.565,0,0.0478,0.496,0.0,0.163,0.396,104.979
Hurts So Good,Astrid S,0.672,0.589,7,-5.008,0,0.049,0.082,0.0,0.0962,0.379,120.036
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),David Guetta,0.367,0.915,9,-3.456,0,0.0488,0.0022,5.81e-05,0.0905,0.365,110.169
Should’ve Been Us - Lost Kings Remix,"Tori Kelly, Lost Kings",0.709,0.897,1,-2.932,0,0.05,0.34,0.0721,0.229,0.87,110.025
Stay Awake (feat. VENIOR),"Tungevaag, Raaban, Venior",0.744,0.705,11,-5.847,0,0.0758,0.0655,2.7e-05,0.849,0.554,105.008
Ollaan Kaikki Pinkkejä Sisältä,Kuningas Pähkinä & Setä Tamu,0.765,0.712,4,-4.833,0,0.0715,0.0423,0.0,0.392,0.833,116.994
Pannaan Suomi Kuntoon,Petri Nygård,0.817,0.669,6,-5.039,0,0.0588,0.366,0.0,0.095,0.877,128.029
Hehkuu,JVG,0.576,0.728,9,-5.555,0,0.233,0.00642,0.0,0.125,0.431,89.957
Hotter Than Hell,Dua Lipa,0.532,0.868,3,-4.23,0,0.0908,0.011,0.0,0.0584,0.529,110.127
What About Me,Isac Elliot,0.82,0.54,9,-4.948,1,0.0621,0.528,0.0,0.0899,0.602,96.045
Cool Girl,Tove Lo,0.674,0.71,9,-7.042,0,0.111,0.343,6.71e-06,0.129,0.234,101.983
Closer,"The Chainsmokers, Halsey",0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
Mona Lisa,Nikke Ankara,0.674,0.67,10,-4.852,0,0.0356,0.483,0.0,0.227,0.332,114.825
Söpö,Hank Solo,0.753,0.602,11,-3.786,1,0.226,0.0532,0.00147,0.356,0.921,128.976
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Lil Wayne, Wiz Khalifa, Imagine Dragons, X Ambassadors, Logic, Ty Dolla $ign",0.502,0.786,9,-4.378,0,0.317,0.255,0.0,0.65,0.739,169.021
In the Name of Love,"Martin Garrix, Bebe Rexha",0.501,0.519,4,-5.88,0,0.0409,0.109,0.0,0.454,0.168,133.99
Kosketa,Reino Nordin,0.568,0.875,5,-5.043,0,0.349,0.175,0.0,0.286,0.658,195.967
Let Me Love You,"DJ Snake, Justin Bieber",0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864
Suomalainen Mies,Heikki Kuula,0.697,0.911,2,-2.59,1,0.0814,0.0129,0.0,0.39,0.719,110.007
Trust Issues,Olivia O'Brien,0.532,0.36,7,-10.343,1,0.0607,0.101,0.0,0.174,0.157,93.047
All Good Everything,Cheek,0.495,0.829,7,-3.715,1,0.23,0.123,0.0,0.054,0.74,89.664
Oispa Kaljaa,"Uniikki, STIG",0.813,0.754,9,-4.644,0,0.0446,0.203,0.0,0.314,0.882,127.98
Starving,"Hailee Steinfeld, Grey, Zedd",0.728,0.616,4,-4.238,1,0.0645,0.378,0.0,0.105,0.508,99.962
Plug,Kube,0.826,0.742,0,-6.09,1,0.0576,0.267,0.0,0.101,0.156,145.985
Tyttörukka (Vain elämää kausi 5),Hector,0.607,0.825,11,-6.674,0,0.0359,0.26,0.0,0.124,0.617,104.038
Africa,TOTO,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718
#Nuorijavilli,Niko Saarinen,0.665,0.766,4,-5.963,0,0.119,0.0157,0.000119,0.064,0.325,128.013
Dye My Hair,ALMA,0.845,0.547,3,-5.924,0,0.074,0.421,2.71e-06,0.0551,0.635,115.463
Chillaa,Musta-Lista,0.784,0.452,8,-8.95,0,0.375,0.352,0.0,0.146,0.448,111.038
Mercy,Shawn Mendes,0.562,0.681,11,-4.934,0,0.0871,0.113,0.0,0.11,0.357,148.064
Sä jätät jäljen,Paperi T,0.664,0.608,4,-8.092,0,0.0729,0.379,0.00197,0.3,0.118,95.061
Hurts So Good,Astrid S,0.671,0.609,7,-5.02,0,0.0508,0.0747,0.0,0.0958,0.375,120.054
Elefantin paino,Ellinoora,0.569,0.491,5,-4.706,1,0.0288,0.434,0.0,0.113,0.403,141.954
Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, Felix Jaehn",0.827,0.576,4,-7.774,1,0.0372,0.184,0.029,0.0656,0.41,118.04
Me ei olla enää me,SANNI,0.571,0.791,5,-5.091,1,0.0323,0.00105,8.35e-05,0.0368,0.342,120.067
Sun Is Shining,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",0.474,0.756,2,-2.973,1,0.0518,0.0747,0.0,0.0693,0.413,131.84
My Way,Calvin Harris,0.819,0.913,4,-3.059,0,0.0427,0.0935,3.72e-05,0.161,0.536,119.989
Päästä mut pois,"Mikael Gabriel, Diandra",0.482,0.753,9,-5.549,0,0.299,0.38,2.13e-06,0.0674,0.339,159.795
Something New,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",0.568,0.86,11,-3.846,1,0.0342,0.0189,0.000484,0.119,0.394,129.924
home (feat. johnny yukon),"gnash, Johnny Yukon",0.61,0.755,5,-5.491,1,0.187,0.0426,1.75e-06,0.0684,0.22,164.183
Together,"Martin Garrix, Matisse & Sadko",0.509,0.729,1,-4.773,1,0.0343,0.0732,2.73e-05,0.233,0.196,127.871
Sing Me to Sleep,Alan Walker,0.491,0.607,4,-6.333,0,0.0668,0.0125,1.52e-06,0.289,0.166,176.112
Make up Your Mind,"Martin Garrix, Florian Picasso",0.688,0.887,7,-3.68,1,0.158,0.000816,0.778,0.276,0.0399,126.029
Move Your Body - Alan Walker Remix,"Sia, Alan Walker",0.636,0.789,10,-4.905,0,0.0892,0.0834,0.000896,0.391,0.4,128.028
Bed Of Lies,"Nicki Minaj, Skylar Grey",0.716,0.67,11,-5.779,1,0.194,0.251,0.0,0.109,0.124,86.01
I Got the Keys (feat. Jay-Z & Future),"DJ Khaled, JAY-Z, Future",0.686,0.623,1,-3.425,1,0.13,0.00287,0.00145,0.219,0.176,140.171
Stay a While - Radio Edit,Dimitri Vegas & Like Mike,0.549,0.653,0,-7.413,1,0.0497,0.0417,0.0,0.108,0.155,120.08
Melody,"Dimitri Vegas & Like Mike, Steve Aoki, Ummet Ozcan",0.461,0.975,3,-3.245,0,0.174,0.0375,0.562,0.366,0.0784,129.978
Another You - Radio Edit,"Armin van Buuren, Mr. Probz",0.59,0.647,6,-5.06,0,0.033,0.00807,4.3e-05,0.0921,0.39,127.979
LA LA LAND,"DVBBS, Shaun Frank, Delaney Jane",0.667,0.799,0,-5.366,0,0.0728,0.061,1.27e-05,0.106,0.475,139.988
This Is What It Feels Like,"Armin van Buuren, Trevor Guthrie",0.552,0.831,8,-5.217,1,0.0298,0.0391,2.93e-06,0.0632,0.144,129.889
m.A.A.d city,"Kendrick Lamar, MC Eiht",0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048
The One That Got Away - Acoustic,Katy Perry,0.714,0.434,4,-11.542,1,0.0396,0.697,0.0,0.0919,0.352,123.942
Ainutlaatuinen,Johanna Kurkela,0.596,0.433,7,-7.641,1,0.024,0.681,0.00267,0.104,0.239,96.019
Love The Way You Lie (Part II),"Rihanna, Eminem",0.473,0.845,10,-4.375,1,0.175,0.317,0.0,0.0589,0.425,165.875
Nothing Like Us,Justin Bieber,0.546,0.155,0,-14.378,1,0.0428,0.987,6.02e-05,0.18,0.512,72.331
Miracle,Cascada,0.639,0.975,0,-6.56,1,0.0393,0.0677,3.39e-06,0.245,0.518,140.03
S&M,Rihanna,0.766,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.104,0.833,127.966
Cheap Thrills,Sia,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976
Like A G6,"Far East Movement, The Cataracs, DEV",0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913
Hair (feat. Sean Paul),"Little Mix, Sean Paul",0.712,0.835,7,-4.676,1,0.0487,0.00623,1.68e-06,0.843,0.741,153.956
Worth It (feat. Kid Ink),"Fifth Harmony, Kid Ink",0.884,0.765,8,-3.865,1,0.0882,0.063,7.04e-06,0.118,0.594,99.987
Run the World (Girls),Beyoncé,0.733,0.899,0,-4.237,1,0.143,0.00496,4.72e-05,0.372,0.76,127.086
Jai Ho! (You Are My Destiny),"A.R. Rahman, The Pussycat Dolls, Nicole Scherzinger",0.657,0.941,8,-3.919,0,0.061,0.0476,0.0,0.0797,0.879,136.202
Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",0.853,0.681,0,-5.003,1,0.0888,0.00966,5.71e-05,0.0233,0.93,115.004
Telephone,"Lady Gaga, Beyoncé",0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021
Temperature,Sean Paul,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04
Black Widow,"Iggy Azalea, Rita Ora",0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,163.99
Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165
Alarm,Anne-Marie,0.756,0.589,0,-5.093,1,0.232,0.0812,0.0,0.176,0.811,146.928
Starships,Nicki Minaj,0.747,0.716,11,-2.457,0,0.0751,0.135,0.0,0.251,0.751,125.006
Danza Kuduro,"Don Omar, Lucenzo",0.4,0.915,0,-4.89,1,0.28,0.0846,0.0,0.0503,0.878,88.917
Same Old Love,Selena Gomez,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02
"Watch Out For This (Bumaye) [feat. Busy Signal, The Flexican & FS Green]","Major Lazer, Busy Signal, FS Green, The Flexican",0.828,0.755,10,-4.116,0,0.156,0.0202,9.61e-06,0.0625,0.862,108.056
Pour It Up,Rihanna,0.785,0.478,2,-8.735,1,0.0419,0.0254,0.0,0.0901,0.39,134.002
Try Me (feat. Jennifer Lopez and Matoma),"Jason Derulo, Jennifer Lopez, Matoma",0.579,0.68,8,-5.634,1,0.076,0.0157,0.0,0.0699,0.211,100.033
Moves Like Jagger - Studio Recording From The Voice Performance,"Maroon 5, Christina Aguilera",0.722,0.758,11,-4.477,0,0.0471,0.0111,0.0,0.308,0.62,128.047
Buttons,The Pussycat Dolls,0.57,0.821,2,-4.38,1,0.267,0.178,0.0,0.289,0.408,210.857
Booty,"Jennifer Lopez, Iggy Azalea",0.709,0.949,0,-4.155,1,0.0509,0.00296,0.00022,0.26,0.398,128.966
Hollaback Girl,Gwen Stefani,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007
Thrift Shop (feat. Wanz),"Macklemore, Ryan Lewis, Wanz",0.781,0.526,6,-6.985,0,0.293,0.0619,0.0,0.0457,0.662,94.992
Alors On Danse,"Stromae, Kanye West",0.744,0.789,1,-5.913,0,0.0661,0.152,6.96e-05,0.269,0.742,119.918
GDFR (feat. Sage the Gemini & Lookas),"Flo Rida, Sage The Gemini, Lookas",0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.69,145.889
,", , , ",0.714,0.821,6,-7.635,1,0.176,0.041,0.0,0.116,0.649,95.999
I Know You Want Me (Calle Ocho),Pitbull,0.82,0.731,9,-6.02,1,0.159,0.0133,1.94e-05,0.131,0.793,127.076
Move Ya Body,"Nina Sky, Jabba",0.87,0.712,11,-6.313,0,0.0432,0.0202,0.000331,0.0576,0.877,121.057
Come & Get It,Selena Gomez,0.548,0.788,7,-4.115,0,0.0495,0.00905,0.000167,0.0966,0.576,80.047
In Da Club,50 Cent,0.902,0.72,6,-2.776,0,0.347,0.26,0.0,0.0749,0.805,90.059
Milkshake,Kelis,0.887,0.774,1,-6.108,1,0.0434,0.00933,0.0213,0.159,0.826,113.0
We Can't Stop,Miley Cyrus,0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003
Low (feat. T-Pain),"Flo Rida, T-Pain",0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008
